owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
jimbrig,codmw,jimbrig/codmw,5,1,10,0,FALSE,https://github.com/jimbrig/codmw,5,NA,NA,NA
jimbrig,configR,jimbrig/configR,1,1,0,0,FALSE,https://github.com/jimbrig/configR,NA,11ce2744475e6ff5a6a9e3ac027fdfd920370dba,Update README.md,[![](https://github.com/jimbrig/configR/workflows/R-CMD-check/badge.svg)](https://github.com/jimbrig/configR/actions/runs/2418199190) [![](https://github.com/jimbrig/configR/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/configR/actions/runs/2418199193) [![](https://github.com/jimbrig/configR/workflows/pkgdown/badge.svg)](https://github.com/jimbrig/configR/actions/runs/2418199198) [![](https://github.com/jimbrig/configR/workflows/test-coverage/badge.svg)](https://github.com/jimbrig/configR/actions/runs/2418199191)
jimbrig,configR,jimbrig/configR,1,1,0,0,FALSE,https://github.com/jimbrig/configR,NA,c4db4e8b3012137a9bb81e422fd2a87373b02b90,Merge remote-tracking branch 'origin/main' into main,[![](https://github.com/jimbrig/configR/workflows/Render%20codemeta/badge.svg)](https://github.com/jimbrig/configR/actions/runs/2418132257)
jimbrig,contribeautiful_data,jimbrig/contribeautiful_data,0,1,0,0,FALSE,https://github.com/jimbrig/contribeautiful_data,0,NA,NA,NA
jimbrig,Data-Science-Workflow-Template,jimbrig/Data-Science-Workflow-Template,0,1,0,0,FALSE,https://github.com/jimbrig/Data-Science-Workflow-Template,0,0b78d7de54f318093c3a859aadef6e1783249bcd,Create README.md,[![](https://github.com/jimbrig/Data-Science-Workflow-Template/workflows/.github/workflows/test.yml/badge.svg)](https://github.com/jimbrig/Data-Science-Workflow-Template/actions/runs/1339215240)
jimbrig,dbt_proj,jimbrig/dbt_proj,1,1,0,0,FALSE,https://github.com/jimbrig/dbt_proj,1,NA,NA,NA
jimbrig,Desktop-Wallpapers,jimbrig/Desktop-Wallpapers,1,1,0,0,FALSE,https://github.com/jimbrig/Desktop-Wallpapers,1,NA,NA,NA
jimbrig,dev-notes,jimbrig/dev-notes,0,1,0,0,FALSE,https://github.com/jimbrig/dev-notes,0,04110d3d827f4ebdc8bc6dd20d5380e14fc8b6a4,Merge branch 'main' of github.com:jimbrig/dev-notes,[![](https://github.com/jimbrig/dev-notes/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/dev-notes/actions/runs/1680060397) [![](https://github.com/jimbrig/dev-notes/workflows/Index%20Directories/badge.svg)](https://github.com/jimbrig/dev-notes/actions/runs/1680060396)
jimbrig,dev-portfolio,jimbrig/dev-portfolio,1,1,1,0,FALSE,https://github.com/jimbrig/dev-portfolio,1,NA,NA,NA
jimbrig,developerfolio,jimbrig/developerfolio,2,1,0,0,FALSE,https://github.com/jimbrig/developerfolio,2,NA,NA,NA
jimbrig,devpholio,jimbrig/devpholio,1,1,2,0,FALSE,https://github.com/jimbrig/devpholio,1,647b45f8e52f3f93bb737bdd1604b53afb4fb6ab,chore: autopublish 2022-04-06T01:11:53Z,[![](https://github.com/jimbrig/devpholio/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/devpholio/actions/runs/2099682387) [![](https://github.com/jimbrig/devpholio/workflows/Build%20and%20Deploy/badge.svg)](https://github.com/jimbrig/devpholio/actions/runs/2099682383)
jimbrig,dockerfiles,jimbrig/dockerfiles,1,1,0,0,FALSE,https://github.com/jimbrig/dockerfiles,1,NA,NA,NA
jimbrig,dolt-data-repo,jimbrig/dolt-data-repo,0,1,0,0,FALSE,https://github.com/jimbrig/dolt-data-repo,0,NA,NA,NA
jimbrig,dotfiles,jimbrig/dotfiles,1,1,3,0,FALSE,https://github.com/jimbrig/dotfiles,1,ae4741fb6a926813e9c8d1cad8159b39483c66fe,Merge branch 'develop' into main,[![](https://github.com/jimbrig/dotfiles/workflows/GitGuardian%20Scan/badge.svg)](https://github.com/jimbrig/dotfiles/actions/runs/1844587543)
jimbrig,dotfiles-work,jimbrig/dotfiles-work,1,1,6,0,FALSE,https://github.com/jimbrig/dotfiles-work,1,NA,NA,NA
jimbrig,dotfiles-wsl,jimbrig/dotfiles-wsl,1,1,0,0,FALSE,https://github.com/jimbrig/dotfiles-wsl,1,a954207dd82a281c45d9da957d9905052c5b5aa3,Update README.md,[![](https://github.com/jimbrig/dotfiles-wsl/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/dotfiles-wsl/actions/runs/1585994982)
jimbrig,EDA,jimbrig/EDA,2,1,0,1,FALSE,https://github.com/jimbrig/EDA,NA,e18fc54ca39742f4dbdd9fe84be0d91a6adb8d75,Merge branch 'master' of github.com:jimbrig2011/owEDA,[![](https://github.com/jimbrig/EDA/workflows/Render%20and%20Deploy%20RMarkdown%20Website/badge.svg)](https://github.com/jimbrig/EDA/actions/runs/24381945)
jimbrig,eleventy-example,jimbrig/eleventy-example,0,1,2,0,FALSE,https://github.com/jimbrig/eleventy-example,0,NA,NA,NA
jimbrig,Engineered-Knowledge,jimbrig/Engineered-Knowledge,5,2,0,1,FALSE,https://github.com/jimbrig/Engineered-Knowledge,5,9d1374a20e2801fb1c992326f395f022b2e68ad6,"vault backup: 2021-10-26 21:58:21

Affected files:
.obsidian/plugins/obsidian-readwise/data.json
.obsidian/plugins/recent-files-obsidian/data.json
.obsidian/workspace
4-Logs/Changelog.md",[![](https://github.com/jimbrig/Engineered-Knowledge/workflows/Publish%20Vault/badge.svg)](https://github.com/jimbrig/Engineered-Knowledge/actions/runs/1388265448)
jimbrig,espanso,jimbrig/espanso,3,1,0,0,FALSE,https://github.com/jimbrig/espanso,3,cb29b2e6efaff627f57c95f44a07fe0cbb29138c,"Revert ""idk""

This reverts commit 966fdc1fe881f4b119f20dba58602c1b8e858632.",[![](https://github.com/jimbrig/espanso/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/espanso/actions/runs/2372586403)
jimbrig,excel-config,jimbrig/excel-config,1,1,0,0,FALSE,https://github.com/jimbrig/excel-config,1,NA,NA,NA
jimbrig,flask-sandbox,jimbrig/flask-sandbox,0,1,0,0,FALSE,https://github.com/jimbrig/flask-sandbox,0,NA,NA,NA
jimbrig,flask-sandbox-app,jimbrig/flask-sandbox-app,0,2,0,0,FALSE,https://github.com/jimbrig/flask-sandbox-app,0,NA,NA,NA
jimbrig,gatsby-example,jimbrig/gatsby-example,0,1,0,0,FALSE,https://github.com/jimbrig/gatsby-example,0,NA,NA,NA
jimbrig,Generic-Project-Template,jimbrig/Generic-Project-Template,0,1,0,0,FALSE,https://github.com/jimbrig/Generic-Project-Template,0,NA,NA,NA
jimbrig,git-training,jimbrig/git-training,6,2,0,1,FALSE,https://github.com/jimbrig/git-training,6,NA,NA,NA
jimbrig,github-issue-table,jimbrig/github-issue-table,2,1,2,1,FALSE,https://github.com/jimbrig/github-issue-table,2,aa4148002f579fac205d6d6c6f287f95b53d32a6,Merge branch 'develop',[![](https://github.com/jimbrig/github-issue-table/workflows/Jekyll%20site%20CI/badge.svg)](https://github.com/jimbrig/github-issue-table/actions/runs/1675520648) [![](https://github.com/jimbrig/github-issue-table/workflows/Render%20Rmarkdown/badge.svg)](https://github.com/jimbrig/github-issue-table/actions/runs/1675519137)
jimbrig,hexo-example,jimbrig/hexo-example,0,1,2,0,FALSE,https://github.com/jimbrig/hexo-example,0,NA,NA,NA
jimbrig,ios-shortcuts,jimbrig/ios-shortcuts,0,1,0,0,FALSE,https://github.com/jimbrig/ios-shortcuts,0,NA,NA,NA
jimbrig,jimbrig,jimbrig/jimbrig,6,0,0,3,FALSE,https://github.com/jimbrig/jimbrig,6,53cd78b32ee8c5b9dc74fc82fa54f60fdc28052e,Todoist updated.,[![](https://github.com/jimbrig/jimbrig/workflows/Update%20GitHub%20Profile/badge.svg)](https://github.com/jimbrig/jimbrig/actions/runs/2471449699)
